Tipo,Transferência,Id da Conta Financeira,Nome da Conta Financeira,Tipo de Repetiçao,Parcela,Quitado,Quitado Parcialmente,Conciliado,Observação/Descrição,Competência,Vencimento,Data Realizado,Data Conciliação,Valor (R$),Valor Previsto,Valor Realizado,Valor Rateio,Valor Retenção,Quantidade de Parcelas,Origem da Renegociação,Boleto Gerado,Inicial,Categoria,Departamento,Tipo Cliente/Fornecedor,Documento Cliente/Fornecedor,Cliente/Fornecedor,Numero da Nota Fiscal,Observação,Forma de Pagamento - Parcela,Forma de Pagamento - Quitação,Etiquetas,Número do Documento,Nome Vendedor,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) PROMETEON TYRE GROUP INDUSTRIA BRASIL LTDA NO VALOR R$ 2940.00 (PARCELA UNICA NO DIA 20),Jan-24,20/02/2024,,,2940,2940,,2940,0,1,Não,Não,Não,Atendimento Técnico Local / Venda de Serviço,Service,Pessoa Juridica,22.301.988/0005-95,PROMETEON TYRE GROUP INDUSTRIA BRASIL LTDA,28,NFS 0028 - Fornecimento de Licenças/Instalações em 2020 (VALORES ANTIGOS EM ABERTO),Transferência Bancária,,,28,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) SOC PARA FUND E MANUT DO HOSPITAL DE CARIDADE STA RITA NO VALOR R$ 915.00 (PARCELA UNICA NO DIA 25),Jan-24,25/02/2024,,,915,915,,915,0,1,Não,Não,Não,Locação de Sistema de Teleinformática / Venda de Serviço,Service,Pessoa Juridica,98.227.986/0001-31,SOC PARA FUND E MANUT DO HOSPITAL DE CARIDADE STA RITA,53,NFS 0053 - Locação em Janeiro/2024,Transferência Bancária,,,53,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) PREFEITURA  MUNICIPAL SÃO LOURENÇO DO SUL NO VALOR R$ 4952.19 (PARCELA UNICA NO DIA 25),Jan-24,25/02/2024,,,4952.19,4952.19,,4952.19,0,1,Não,Não,Não,Locação de Sistema de Teleinformática / Venda de Serviço,Service,Pessoa Juridica,87.893.111/0001-52,PREFEITURA  MUNICIPAL SÃO LOURENÇO DO SUL,61,NFS 0061 - Locação em Janeiro/2024,Transferência Bancária,,,61,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) Simples! Serviços Administrativos Ltda NO VALOR R$ 467.50 (PARCELA UNICA NO DIA 29),Feb-24,29/02/2024,,,467.5,467.5,,467.5,0,1,Não,Não,Não,Atendimento Técnico Local / Venda de Serviço,Service,Pessoa Juridica,15.393.550/0001-95,Simples! Serviços Administrativos Ltda,77,NFS 0077 - Atendimento Local em 13/01/2023 - O.S. #2398,Boleto Bancário,,O.S. 2398,77,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) MUNICIPIO DE PORTO ALEGRE NO VALOR R$ 4495.83 (PARCELA UNICA NO DIA 29),Jan-24,29/02/2024,,,4495.83,4495.83,,4495.83,0,1,Não,Não,Não,Contrato de Manutenção do Sistema de Teleinformática / Venda de Serviço,Service,Pessoa Juridica,92.963.560/0001-60,MUNICIPIO DE PORTO ALEGRE,,HPS - NFS 0151 - Manutenção em Janeiro/2024,Transferência Bancária,,NFS HPS,151,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) FUNDACAO HOSPITALAR GETULIO VARGAS NO VALOR R$ 7387.28 (PARCELA UNICA NO DIA 29),Jan-24,29/02/2024,,,7387.28,7387.28,,7387.28,0,1,Não,Não,Não,Locação de Sistema de Teleinformática / Venda de Serviço,Service,Pessoa Juridica,13.183.513/0001-27,FUNDACAO HOSPITALAR GETULIO VARGAS,69,NFS 0069 - Locação em Janeiro/2024,Transferência Bancária,,,69,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) FUNDACAO HOSPITALAR GETULIO VARGAS NO VALOR R$ 440.00 (PARCELA UNICA NO DIA 29),Feb-24,29/02/2024,,,440,440,,440,0,1,Não,Não,Não,Atendimento Técnico Local / Venda de Serviço,Service,Pessoa Juridica,13.183.513/0001-27,FUNDACAO HOSPITALAR GETULIO VARGAS,84,NFS 0084 - Atendimento Local em 10/01/2023 - O.S. #2347,Transferência Bancária,,O.S. 2347,84,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) FUNDACAO DE SAUDE PUBLICA DE NOVO HAMBURGO - FSNH NO VALOR R$ 3850.00 (PARCELA UNICA NO DIA 29),Jan-24,29/02/2024,,,3850,3850,,3850,0,1,Não,Não,Não,Locação de Sistema de Teleinformática / Venda de Serviço,Service,Pessoa Juridica,11.055.682/0001-56,FUNDACAO DE SAUDE PUBLICA DE NOVO HAMBURGO - FSNH,71,NFS 0071 - Locação em Janeiro/2024,Transferência Bancária,,,71,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) MUNICIPIO DE PORTO ALEGRE NO VALOR R$ 2011.88 (PARCELA UNICA NO DIA 29),Jan-24,29/02/2024,,,2011.88,2011.88,,2011.88,0,1,Não,Não,Não,Contrato de Manutenção do Sistema de Teleinformática / Venda de Serviço,Service,Pessoa Juridica,92.963.560/0001-60,MUNICIPIO DE PORTO ALEGRE,,SMS - NFS 0153 PHSUL - Manutenção em Janeiro/2024,Transferência Bancária,,NFS SMS,153,,
Receita,Não,4,Bradesco,Customizada,29,Não,Não,Não,Recebimento DO(A) MUNICIPIO DE ESTEIO NO VALOR R$ 578.17 (PARCELA FIXA TODO DIA 29),Jan-24,29/02/2024,,,578.17,578.17,,578.17,0,,Não,Não,Não,Locação de Sistema de Teleinformática / Venda de Serviço,Comercial,Pessoa Juridica,88.150.495/0001-86,MUNICIPIO DE ESTEIO,,SMSP - R.L. 007/2024 - Locação em Janeiro/2024,Transferência Bancária,,SMSP,72024,,
